id1,id2,common_neighbors,jaccard,adamic_adar,shortest_path
207,37711,1.0,0.017543859649122806,0.30692767643013485,1.0
86919,118071,0.0,0.0,0.0,-1.0
63139,27133,0.0,0.0,0.0,-1.0
80251,74330,6.0,0.15,1.5689007506854695,1.0
7649,46423,1.0,0.014084507042253521,0.3001016285004131,1.0
74686,62299,0.0,0.0,0.0,-1.0
104332,100286,0.0,0.0,0.0,1.0
29693,45290,1.0,0.012658227848101266,0.20576925955053368,1.0
2437,24121,3.0,0.030927835051546393,0.5236334916352693,1.0
95423,37492,0.0,0.0,0.0,-1.0
43664,42167,0.0,0.0,0.0,-1.0
137133,123819,0.0,0.0,0.0,-1.0
2534,2554,5.0,0.02242152466367713,1.080866315646436,1.0
31145,476,0.0,0.0,0.0,-1.0
122130,52622,0.0,0.0,0.0,-1.0
79126,82330,0.0,0.0,0.0,-1.0
121229,58735,0.0,0.0,0.0,-1.0
68293,43859,0.0,0.0,0.0,-1.0
42757,47229,0.0,0.0,0.0,-1.0
124713,114475,0.0,0.0,0.0,-1.0
22145,5927,0.0,0.0,0.0,-1.0
48926,50462,0.0,0.0,0.0,-1.0
102980,78298,0.0,0.0,0.0,-1.0
41721,49327,6.0,0.05263157894736842,1.0482076395961886,1.0
92924,62145,0.0,0.0,0.0,-1.0
41010,11237,1.0,0.015625,0.14359283845892218,-1.0
48832,48067,12.0,0.17391304347826086,2.3628736056979105,1.0
49279,49036,2.0,0.004830917874396135,0.37384754401784837,1.0
46615,49002,0.0,0.0,0.0,-1.0
28093,108912,3.0,0.011111111111111112,0.5821801566298491,1.0
5578,100540,0.0,0.0,0.0,-1.0
11659,17035,2.0,0.05,0.46941497391872705,1.0
88269,113397,0.0,0.0,0.0,-1.0
110881,86859,0.0,0.0,0.0,-1.0
65400,96755,0.0,0.0,0.0,-1.0
20343,31311,0.0,0.0,0.0,-1.0
12726,97855,0.0,0.0,0.0,-1.0
36830,10366,0.0,0.0,0.0,-1.0
45064,45053,2.0,0.02197802197802198,0.4630258028751644,1.0
95956,95945,2.0,0.1111111111111111,0.5242758403589087,1.0
66779,92901,0.0,0.0,0.0,-1.0
20343,136810,0.0,0.0,0.0,12.0
136317,78470,0.0,0.0,0.0,-1.0
79894,111541,0.0,0.0,0.0,-1.0
19166,31201,0.0,0.0,0.0,-1.0
12942,4164,2.0,0.001841620626151013,0.3725304631693987,1.0
126266,76251,0.0,0.0,0.0,-1.0
97702,47406,0.0,0.0,0.0,1.0
18463,93411,0.0,0.0,0.0,-1.0
43613,43577,1.0,0.030303030303030304,0.17037815854268537,1.0
47382,9591,0.0,0.0,0.0,-1.0
13205,6469,2.0,0.01904761904761905,0.30964921895974395,1.0
53074,9240,5.0,0.013477088948787063,1.2045670425544293,1.0
1041,109809,0.0,0.0,0.0,4.0
36734,94560,5.0,0.21739130434782608,1.455064205922492,1.0
78909,26999,1.0,0.014705882352941176,0.3459762562611936,1.0
55550,89014,0.0,0.0,0.0,-1.0
65655,137748,0.0,0.0,0.0,8.0
67066,39587,0.0,0.0,0.0,-1.0
130089,136136,0.0,0.0,0.0,-1.0
126919,112738,0.0,0.0,0.0,-1.0
108225,108667,4.0,0.1,1.0755492286213988,1.0
54358,99249,2.0,0.009216589861751152,0.6796027491260419,1.0
21691,87404,0.0,0.0,0.0,-1.0
112488,115116,0.0,0.0,0.0,-1.0
