id1,id2,shared_word_count
207,37711,18.0
86919,118071,20.0
63139,27133,17.0
80251,74330,22.0
7649,46423,30.0
74686,62299,27.0
104332,100286,0.0
29693,45290,26.0
2437,24121,26.0
95423,37492,11.0
43664,42167,14.0
137133,123819,0.0
2534,2554,16.0
31145,476,19.0
122130,52622,14.0
79126,82330,0.0
121229,58735,17.0
68293,43859,16.0
42757,47229,20.0
124713,114475,19.0
22145,5927,16.0
48926,50462,14.0
102980,78298,20.0
41721,49327,30.0
92924,62145,21.0
41010,11237,22.0
48832,48067,18.0
49279,49036,22.0
46615,49002,22.0
28093,108912,17.0
5578,100540,0.0
11659,17035,40.0
88269,113397,20.0
110881,86859,3.0
65400,96755,21.0
20343,31311,19.0
12726,97855,21.0
36830,10366,18.0
45064,45053,18.0
95956,95945,27.0
66779,92901,17.0
20343,136810,16.0
136317,78470,0.0
79894,111541,29.0
19166,31201,15.0
12942,4164,25.0
126266,76251,13.0
97702,47406,24.0
18463,93411,0.0
43613,43577,26.0
47382,9591,21.0
13205,6469,13.0
53074,9240,16.0
1041,109809,20.0
36734,94560,25.0
78909,26999,28.0
55550,89014,22.0
65655,137748,14.0
67066,39587,19.0
130089,136136,21.0
126919,112738,13.0
108225,108667,34.0
54358,99249,20.0
21691,87404,15.0
112488,115116,13.0
16336,107314,28.0
114912,34953,13.0
31630,22856,14.0
110240,95382,15.0
10042,89794,17.0
27673,51569,19.0
10167,94816,17.0
55708,45047,0.0
130599,47667,24.0
72690,129542,11.0
3252,19836,25.0
16171,17905,13.0
493,96309,12.0
5068,16685,22.0
113786,110799,9.0
105497,121807,22.0
46166,127721,21.0
103890,90475,10.0
121918,108113,14.0
26920,32033,32.0
73645,73669,20.0
104568,42295,11.0
126647,51165,24.0
78474,44497,31.0
48674,68131,21.0
24489,36547,26.0
89737,97014,29.0
48419,103862,24.0
21455,64553,0.0
73137,67340,0.0
47554,112723,19.0
33307,53522,0.0
40490,51733,23.0
92168,55627,11.0
29960,20632,28.0
25626,106046,16.0
53769,16320,31.0
60923,139,19.0
19525,19554,36.0
73891,134526,16.0
4240,41689,27.0
57299,26285,14.0
17846,69861,12.0
48882,18576,27.0
113986,67142,14.0
15175,106750,19.0
12942,63256,18.0
38778,125526,18.0
43165,136170,20.0
78695,118454,12.0
28966,26104,22.0
17780,47848,19.0
60755,92445,0.0
134937,89971,19.0
99354,85148,30.0
112860,75715,18.0
71029,37016,27.0
27202,80301,22.0
134466,47444,15.0
85534,113909,23.0
31106,32882,10.0
63900,135978,11.0
120037,37448,15.0
5935,30765,20.0
30636,33532,7.0
37878,32240,0.0
28351,127244,14.0
17900,17993,23.0
39178,24647,23.0
73664,966,17.0
20846,49263,0.0
22207,30185,16.0
103056,104822,35.0
53840,116574,19.0
17135,95861,15.0
111881,128182,12.0
57563,2097,16.0
31167,3426,0.0
35706,67862,0.0
130534,87954,11.0
124795,36675,18.0
51558,42379,17.0
105104,129399,16.0
19358,132365,20.0
81242,124418,22.0
85067,59264,15.0
81086,24130,19.0
121169,14149,20.0
87459,20841,16.0
9690,68976,0.0
21962,13767,27.0
69529,32531,24.0
112278,105381,10.0
78189,7556,0.0
60473,52898,21.0
95799,42054,16.0
43282,34839,14.0
125736,45936,19.0
37545,101325,9.0
113655,80588,13.0
106240,32858,9.0
69346,65000,0.0
111420,108298,24.0
1675,70478,13.0
76163,55685,11.0
3895,85448,28.0
51784,7637,31.0
48413,126454,20.0
20619,107851,18.0
62117,103881,21.0
84216,22596,23.0
70387,72113,32.0
18107,31768,28.0
104717,27413,13.0
121820,77724,25.0
59825,74070,22.0
124012,49805,21.0
7268,7649,27.0
121470,2083,21.0
120319,135472,8.0
75024,17311,21.0
34811,53976,22.0
126699,90380,10.0
35079,54230,18.0
20953,11852,12.0
16740,13071,23.0
29884,37960,0.0
3391,53145,15.0
60364,68844,0.0
63117,45542,13.0
28117,48493,28.0
27268,13091,24.0
8717,57567,16.0
7258,4873,20.0
96831,131470,12.0
91518,38672,24.0
46156,14567,16.0
29854,114032,18.0
110487,119299,14.0
128654,96695,13.0
73314,20864,0.0
64332,100839,22.0
32707,24174,20.0
27605,14054,19.0
25127,19485,27.0
15864,75208,26.0
6052,97245,15.0
86161,45763,19.0
66693,126412,16.0
30271,30041,17.0
33944,3611,17.0
129192,68491,16.0
33310,131844,11.0
134082,66382,12.0
123711,102750,21.0
128480,122562,25.0
61391,57188,16.0
32701,33649,18.0
8766,21439,13.0
47092,23631,15.0
